timestamp,port,fuel_type,price,data_type
2023-06-19T00:00:00Z,Fujairah,VLSFO,605.0,REAL_UPLOADED_DATA
2023-06-19T00:00:00Z,Mumbai,VLSFO,641.2,SYNTHETIC_ESTIMATE_NOT_REAL
2023-06-20T00:00:00Z,Fujairah,VLSFO,601.0,REAL_UPLOADED_DATA
2023-06-20T00:00:00Z,Mumbai,VLSFO,629.0,SYNTHETIC_ESTIMATE_NOT_REAL
2023-06-21T00:00:00Z,Fujairah,VLSFO,595.0,REAL_UPLOADED_DATA
2023-06-21T00:00:00Z,Mumbai,VLSFO,623.1,SYNTHETIC_ESTIMATE_NOT_REAL
2023-06-22T00:00:00Z,Fujairah,VLSFO,600.5,REAL_UPLOADED_DATA
2023-06-22T00:00:00Z,Mumbai,VLSFO,631.3,SYNTHETIC_ESTIMATE_NOT_REAL
2023-06-23T00:00:00Z,Fujairah,VLSFO,584.0,REAL_UPLOADED_DATA
2023-06-23T00:00:00Z,Mumbai,VLSFO,607.7,SYNTHETIC_ESTIMATE_NOT_REAL
2023-06-26T00:00:00Z,Fujairah,VLSFO,582.0,REAL_UPLOADED_DATA
2023-06-26T00:00:00Z,Mumbai,VLSFO,609.3,SYNTHETIC_ESTIMATE_NOT_REAL
2023-06-27T00:00:00Z,Fujairah,VLSFO,582.0,REAL_UPLOADED_DATA
2023-06-27T00:00:00Z,Mumbai,VLSFO,608.4,SYNTHETIC_ESTIMATE_NOT_REAL
2023-06-28T00:00:00Z,Fujairah,VLSFO,570.5,REAL_UPLOADED_DATA
2023-06-28T00:00:00Z,Mumbai,VLSFO,587.1,SYNTHETIC_ESTIMATE_NOT_REAL
2023-06-29T00:00:00Z,Fujairah,VLSFO,576.5,REAL_UPLOADED_DATA
2023-06-29T00:00:00Z,Mumbai,VLSFO,610.7,SYNTHETIC_ESTIMATE_NOT_REAL
2023-06-30T00:00:00Z,Fujairah,VLSFO,579.0,REAL_UPLOADED_DATA
2023-06-30T00:00:00Z,Mumbai,VLSFO,610.9,SYNTHETIC_ESTIMATE_NOT_REAL
2023-07-03T00:00:00Z,Fujairah,VLSFO,584.0,REAL_UPLOADED_DATA
2023-07-03T00:00:00Z,Mumbai,VLSFO,608.1,SYNTHETIC_ESTIMATE_NOT_REAL
2023-07-04T00:00:00Z,Fujairah,VLSFO,572.0,REAL_UPLOADED_DATA
2023-07-04T00:00:00Z,Mumbai,VLSFO,599.6,SYNTHETIC_ESTIMATE_NOT_REAL
2023-07-05T00:00:00Z,Fujairah,VLSFO,575.0,REAL_UPLOADED_DATA
2023-07-05T00:00:00Z,Mumbai,VLSFO,604.9,SYNTHETIC_ESTIMATE_NOT_REAL
2023-07-06T00:00:00Z,Fujairah,VLSFO,572.5,REAL_UPLOADED_DATA
2023-07-06T00:00:00Z,Mumbai,VLSFO,596.3,SYNTHETIC_ESTIMATE_NOT_REAL
2023-07-07T00:00:00Z,Fujairah,VLSFO,573.0,REAL_UPLOADED_DATA
2023-07-07T00:00:00Z,Mumbai,VLSFO,598.5,SYNTHETIC_ESTIMATE_NOT_REAL
2023-07-10T00:00:00Z,Fujairah,VLSFO,574.0,REAL_UPLOADED_DATA
2023-07-10T00:00:00Z,Mumbai,VLSFO,592.4,SYNTHETIC_ESTIMATE_NOT_REAL
2023-07-11T00:00:00Z,Fujairah,VLSFO,567.0,REAL_UPLOADED_DATA
2023-07-11T00:00:00Z,Mumbai,VLSFO,595.3,SYNTHETIC_ESTIMATE_NOT_REAL
2023-07-12T00:00:00Z,Fujairah,VLSFO,572.5,REAL_UPLOADED_DATA
