timestamp,port,fuel_type,price
2023-06-19T00:00:00Z,Fujairah,MGO,850.5
2023-06-19T00:00:00Z,Fujairah,VLSFO,605
2023-06-19T00:00:00Z,Singapore,MGO,741
2023-06-19T00:00:00Z,Singapore,VLSFO,616.5
2023-06-20T00:00:00Z,Fujairah,MGO,823.5
2023-06-20T00:00:00Z,Fujairah,VLSFO,601
2023-06-20T00:00:00Z,Singapore,MGO,737
2023-06-20T00:00:00Z,Singapore,VLSFO,626
2023-06-21T00:00:00Z,Fujairah,MGO,826
2023-06-21T00:00:00Z,Fujairah,VLSFO,595
2023-06-21T00:00:00Z,Singapore,MGO,732
2023-06-21T00:00:00Z,Singapore,VLSFO,612
2023-06-22T00:00:00Z,Fujairah,MGO,831.5
2023-06-22T00:00:00Z,Fujairah,VLSFO,600.5
2023-06-22T00:00:00Z,Singapore,MGO,737
2023-06-22T00:00:00Z,Singapore,VLSFO,612.5
2023-06-23T00:00:00Z,Fujairah,MGO,815
2023-06-23T00:00:00Z,Fujairah,VLSFO,584
2023-06-23T00:00:00Z,Singapore,MGO,724.5
2023-06-23T00:00:00Z,Singapore,VLSFO,602.5
2023-06-26T00:00:00Z,Fujairah,MGO,816
2023-06-26T00:00:00Z,Fujairah,VLSFO,582
2023-06-26T00:00:00Z,Singapore,MGO,712.5
2023-06-26T00:00:00Z,Singapore,VLSFO,597
2023-06-27T00:00:00Z,Fujairah,MGO,814
2023-06-27T00:00:00Z,Fujairah,VLSFO,582
2023-06-27T00:00:00Z,Singapore,MGO,730
2023-06-27T00:00:00Z,Singapore,VLSFO,594.5
2023-06-28T00:00:00Z,Fujairah,MGO,797.5
2023-06-28T00:00:00Z,Fujairah,VLSFO,570.5
2023-06-28T00:00:00Z,Singapore,MGO,714.5
2023-06-28T00:00:00Z,Singapore,VLSFO,585
2023-06-29T00:00:00Z,Fujairah,MGO,801
2023-06-29T00:00:00Z,Fujairah,VLSFO,576.5
2023-06-29T00:00:00Z,Singapore,MGO,712
2023-06-29T00:00:00Z,Singapore,VLSFO,587
2023-06-30T00:00:00Z,Fujairah,MGO,813
2023-06-30T00:00:00Z,Fujairah,VLSFO,579
2023-06-30T00:00:00Z,Singapore,MGO,720.5
2023-06-30T00:00:00Z,Singapore,VLSFO,594
2023-07-03T00:00:00Z,Fujairah,MGO,811.5
2023-07-03T00:00:00Z,Fujairah,VLSFO,584
2023-07-03T00:00:00Z,Singapore,MGO,719
2023-07-03T00:00:00Z,Singapore,VLSFO,595
2023-07-04T00:00:00Z,Fujairah,MGO,809
2023-07-04T00:00:00Z,Fujairah,VLSFO,572
2023-07-04T00:00:00Z,Singapore,MGO,722.5
2023-07-04T00:00:00Z,Singapore,VLSFO,591
2023-07-05T00:00:00Z,Fujairah,MGO,810
2023-07-05T00:00:00Z,Fujairah,VLSFO,575
2023-07-05T00:00:00Z,Singapore,MGO,722
2023-07-05T00:00:00Z,Singapore,VLSFO,585.5
2023-07-06T00:00:00Z,Fujairah,MGO,815
2023-07-06T00:00:00Z,Fujairah,VLSFO,572.5
2023-07-06T00:00:00Z,Singapore,MGO,731
2023-07-06T00:00:00Z,Singapore,VLSFO,582
2023-07-07T00:00:00Z,Fujairah,MGO,817.5
2023-07-07T00:00:00Z,Fujairah,VLSFO,573
2023-07-07T00:00:00Z,Singapore,MGO,736.5
2023-07-07T00:00:00Z,Singapore,VLSFO,586.5
2023-07-10T00:00:00Z,Fujairah,MGO,823.5
2023-07-10T00:00:00Z,Fujairah,VLSFO,574
2023-07-10T00:00:00Z,Singapore,MGO,750.5
2023-07-10T00:00:00Z,Singapore,VLSFO,587.5
2023-07-11T00:00:00Z,Fujairah,MGO,824
2023-07-11T00:00:00Z,Fujairah,VLSFO,567
2023-07-11T00:00:00Z,Singapore,MGO,746.5
2023-07-11T00:00:00Z,Singapore,VLSFO,575.5
2023-07-12T00:00:00Z,Fujairah,MGO,831.5
2023-07-12T00:00:00Z,Fujairah,VLSFO,572.5
2023-07-12T00:00:00Z,Singapore,MGO,761
2023-07-12T00:00:00Z,Singapore,VLSFO,579.5
2023-07-13T00:00:00Z,Fujairah,MGO,846
2023-07-13T00:00:00Z,Fujairah,VLSFO,577
2023-07-13T00:00:00Z,Singapore,MGO,767
2023-07-13T00:00:00Z,Singapore,VLSFO,577
2023-07-14T00:00:00Z,Fujairah,MGO,844
2023-07-14T00:00:00Z,Fujairah,VLSFO,575.5
2023-07-14T00:00:00Z,Singapore,MGO,768.5
2023-07-14T00:00:00Z,Singapore,VLSFO,581.5
2023-07-17T00:00:00Z,Fujairah,MGO,841.5
2023-07-17T00:00:00Z,Fujairah,VLSFO,566
2023-07-17T00:00:00Z,Singapore,MGO,759.5
2023-07-17T00:00:00Z,Singapore,VLSFO,574
2023-07-18T00:00:00Z,Fujairah,MGO,835.5
2023-07-18T00:00:00Z,Fujairah,VLSFO,565
2023-07-18T00:00:00Z,Singapore,MGO,767.5
2023-07-18T00:00:00Z,Singapore,VLSFO,564.5
2023-07-19T00:00:00Z,Fujairah,MGO,838.5
2023-07-19T00:00:00Z,Fujairah,VLSFO,567
2023-07-19T00:00:00Z,Singapore,MGO,771.5
2023-07-19T00:00:00Z,Singapore,VLSFO,569
2023-07-20T00:00:00Z,Fujairah,MGO,845
2023-07-20T00:00:00Z,Fujairah,VLSFO,562
2023-07-20T00:00:00Z,Singapore,MGO,779.5
2023-07-20T00:00:00Z,Singapore,VLSFO,569
2023-07-21T00:00:00Z,Fujairah,MGO,847.5
2023-07-21T00:00:00Z,Fujairah,VLSFO,566.5
2023-07-21T00:00:00Z,Singapore,MGO,788
2023-07-21T00:00:00Z,Singapore,VLSFO,573.5
2023-07-24T00:00:00Z,Fujairah,MGO,864
2023-07-24T00:00:00Z,Fujairah,VLSFO,576
2023-07-24T00:00:00Z,Singapore,MGO,808.5
2023-07-24T00:00:00Z,Singapore,VLSFO,583.5
2023-07-25T00:00:00Z,Fujairah,MGO,875.5
2023-07-25T00:00:00Z,Fujairah,VLSFO,587
2023-07-25T00:00:00Z,Singapore,MGO,820
2023-07-25T00:00:00Z,Singapore,VLSFO,592
2023-07-26T00:00:00Z,Fujairah,MGO,873.5
2023-07-26T00:00:00Z,Fujairah,VLSFO,594
2023-07-26T00:00:00Z,Singapore,MGO,823.5
2023-07-26T00:00:00Z,Singapore,VLSFO,598.5
2023-07-27T00:00:00Z,Fujairah,MGO,888.5
2023-07-27T00:00:00Z,Fujairah,VLSFO,602.5
2023-07-27T00:00:00Z,Singapore,MGO,841.5
2023-07-27T00:00:00Z,Singapore,VLSFO,608
2023-07-28T00:00:00Z,Fujairah,MGO,903.5
2023-07-28T00:00:00Z,Fujairah,VLSFO,608.5
2023-07-28T00:00:00Z,Singapore,MGO,854
2023-07-28T00:00:00Z,Singapore,VLSFO,613.5
2023-07-31T00:00:00Z,Fujairah,MGO,914
2023-07-31T00:00:00Z,Fujairah,VLSFO,612
2023-07-31T00:00:00Z,Singapore,MGO,866.5
2023-07-31T00:00:00Z,Singapore,VLSFO,619.5
2023-08-01T00:00:00Z,Fujairah,MGO,935
2023-08-01T00:00:00Z,Fujairah,VLSFO,624.5
2023-08-01T00:00:00Z,Singapore,MGO,885.5
2023-08-01T00:00:00Z,Singapore,VLSFO,628
2023-08-02T00:00:00Z,Fujairah,MGO,947
2023-08-02T00:00:00Z,Fujairah,VLSFO,629
2023-08-02T00:00:00Z,Singapore,MGO,904
2023-08-02T00:00:00Z,Singapore,VLSFO,638.5
2023-08-03T00:00:00Z,Fujairah,MGO,937.5
2023-08-03T00:00:00Z,Fujairah,VLSFO,623
2023-08-03T00:00:00Z,Singapore,MGO,897.5
2023-08-03T00:00:00Z,Singapore,VLSFO,631.5
2023-08-04T00:00:00Z,Fujairah,MGO,954
2023-08-04T00:00:00Z,Fujairah,VLSFO,638.5
2023-08-04T00:00:00Z,Singapore,MGO,904
2023-08-04T00:00:00Z,Singapore,VLSFO,639
2023-08-07T00:00:00Z,Fujairah,MGO,949
2023-08-07T00:00:00Z,Fujairah,VLSFO,637
